time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
55.0,30.7001953125,0.011334797160065831,18.830938459877622,7.40514875854562e-11,981.3356765944513,476.66407763429305,4.710811560360009e-13,5.098783223550574e-10,5.51881581986988e-07,0.0005973569406584448,0.6465925838509083,6.352002054453697e-10,8.413562224524783e-08,2.0574686160045205e-05,0.00714071051975176,3.1244031307095583,3.932437448257555e-12
56.0,30.628,0.008981136891995737,13.84978870247234,5.5846213851307575e-11,997.6760401756263,474.3575904479408,4.710811560360009e-13,5.174899575587482e-10,5.684815933863711e-07,0.0006245098535673012,0.6860736091088053,6.996454378290138e-10,9.491754150602288e-08,2.346498641002076e-05,0.00820667949610927,3.619608824745945,4.032279123604132e-12
57.0,30.5531796875,0.007457339786332885,10.835690715941006,4.4315636080878873e-11,1010.018779884833,472.4042964630275,4.710811560360009e-13,5.232501957717476e-10,5.812074495187679e-07,0.000645596497698513,0.7171326580877363,7.493143723368781e-10,1.037755527451526e-07,2.589330735849087e-05,0.009111324598382552,4.042764356408367,4.089784144141693e-12
58.0,30.4756875,0.006509738842732037,9.056277415920919,3.770428850036504e-11,1019.9647639507639,470.68213499606884,4.710811560360009e-13,5.279056286672421e-10,5.915954372176444e-07,0.0006629815066977329,0.7429955377031683,7.900796114841961e-10,1.1138144279234441e-07,2.8018920316392124e-05,0.009910129858084168,4.4185135986527335,4.163331882267759e-12
59.0,30.3954765625,0.0059284734050205155,8.004429922942093,3.419895948295409e-11,1028.4951176201953,469.0906112542214,4.710811560360009e-13,5.319096204456162e-10,6.006034208421029e-07,0.0006781811442708436,0.7657935212504273,8.259152503742206e-10,1.1824842281298735e-07,2.9970245591362523e-05,0.010649206875414974,4.767863956486912,4.272504077390184e-12
60.0,30.3125,0.005568221657638642,7.368712470858167,3.254646574597192e-11,1036.1816888170954,467.56024424441415,4.710811560360009e-13,5.355253150837837e-10,6.08796317354291e-07,0.0006921048201209824,0.7868277878130234,8.592556125679356e-10,1.2471482317397332e-07,3.1834738015313156e-05,0.011360575621274446,5.105618220464773,4.4168456666869415e-12
61.0,30.226710937500002,0.00533655045601543,6.966743625047182,3.197112592337607e-11,1043.3494168650482,466.0468033167239,4.710811560360009e-13,5.389019308162206e-10,6.164975968496518e-07,0.00070527872474896,0.8068597204141652,8.91534512976763e-10,1.3098874067633862e-07,3.366729278110567e-05,0.012064672298490177,5.441338888209795,4.589106136822933e-12
62.0,30.1380625,0.005177744929743048,6.69439711347244,3.201016285048771e-11,1050.1799872343079,464.5235163159738,4.710811560360009e-13,5.421227562171677e-10,6.238886624123708e-07,0.0007179996022676792,0.8263215448588583,9.235783235141745e-10,1.3719303803772447e-07,3.550062651244064e-05,0.012773888388151609,5.7809002175667485,4.78163489675081e-12
63.0,30.0465078125,0.005059639836264828,6.493572396823932,3.239344609314119e-11,1056.773971989456,462.9747709843199,4.710811560360009e-13,5.452338337407377e-10,6.310696984639969e-07,0.0007304313828495167,0.8454524640897508,9.558546335934367e-10,1.4339829098193598e-07,3.735345176972188e-05,0.013495459134419928,6.127791479045785,4.988540069097425e-12
64.0,29.951999999999998,0.00496436389833168,6.332654205212691,3.296722443878509e-11,1063.1870852904742,461.3917100809612,4.710811560360009e-13,5.482606559761196e-10,6.380956928041428e-07,0.0007426634109901245,0.8643822306740976,9.886239218311692e-10,1.496444429038381e-07,3.9236104541736035e-05,0.014233492937255003,6.484045708556965,5.205909460783172e-12
